RatingAccuracy ;ShoppingSatisfaction;ServiceAppreciation;ImprovementAreas
3;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
3;2;User-friendly website/app interface;Shipping speed and reliability
4;4;User-friendly website/app interface;Customer service responsiveness
5;3;Competitive prices;Product quality and accuracy
4;3;Competitive prices;Shipping speed and reliability
3;3;Competitive prices;Reducing packaging waste
2;3;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;4;Wide product selection;Product quality and accuracy
4;3;User-friendly website/app interface;Shipping speed and reliability
5;5;Competitive prices;Customer service responsiveness
2;2;Wide product selection;Product quality and accuracy
2;2;Competitive prices;Shipping speed and reliability
3;4;User-friendly website/app interface;Reducing packaging waste
2;2;User-friendly website/app interface;Product quality and accuracy
3;1;User-friendly website/app interface;Product quality and accuracy
3;2;Product recommendations;Customer service responsiveness
4;2;User-friendly website/app interface;Reducing packaging waste
3;3;Product recommendations;Product quality and accuracy
2;1;Wide product selection;Reducing packaging waste
2;3;Competitive prices;Customer service responsiveness
1;1;Wide product selection;Customer service responsiveness
1;1;Wide product selection;Customer service responsiveness
3;3;Wide product selection;Customer service responsiveness
2;2;Competitive prices;Customer service responsiveness
2;2;Competitive prices;Product quality and accuracy
3;2;Wide product selection;Customer service responsiveness
2;1;Product recommendations;Shipping speed and reliability
4;3;Wide product selection;Shipping speed and reliability
3;3;Product recommendations;Reducing packaging waste
4;4;Wide product selection;Product quality and accuracy
3;4;Competitive prices;Reducing packaging waste
1;2;Competitive prices;Customer service responsiveness
3;3;Wide product selection;Customer service responsiveness
3;3;Wide product selection;Reducing packaging waste
2;2;Product recommendations;Product quality and accuracy
3;3;User-friendly website/app interface;Customer service responsiveness
2;1;Wide product selection;Shipping speed and reliability
3;1;Wide product selection;Product quality and accuracy
4;2;Wide product selection;Product quality and accuracy
2;2;User-friendly website/app interface;Product quality and accuracy
4;2;Product recommendations;Shipping speed and reliability
3;3;Competitive prices;Reducing packaging waste
3;2;Product recommendations;Customer service responsiveness
3;2;Product recommendations;Customer service responsiveness
2;1;Wide product selection;Customer service responsiveness
3;2;Competitive prices;Product quality and accuracy
2;1;Competitive prices;Customer service responsiveness
3;2;Competitive prices;Reducing packaging waste
3;1;Competitive prices;Product quality and accuracy
2;3;Product recommendations;Customer service responsiveness
2;2;Competitive prices;Customer service responsiveness
1;1;User-friendly website/app interface;Customer service responsiveness
3;2;Competitive prices;Product quality and accuracy
5;5;User-friendly website/app interface;Shipping speed and reliability
1;1;Wide product selection;Customer service responsiveness
1;1;Wide product selection;Product quality and accuracy
4;3;Product recommendations;Product quality and accuracy
1;1;Wide product selection;Product quality and accuracy
1;1;Product recommendations;Reducing packaging waste
2;1;Wide product selection;Customer service responsiveness
2;2;Competitive prices;Customer service responsiveness
2;2;Competitive prices;Product quality and accuracy
1;1;Competitive prices;Shipping speed and reliability
3;2;Competitive prices;Reducing packaging waste
3;2;Competitive prices;Reducing packaging waste
1;1;Competitive prices;Product quality and accuracy
3;2;Competitive prices;Customer service responsiveness
2;1;Competitive prices;Product quality and accuracy
1;1;Wide product selection;Shipping speed and reliability
1;1;Wide product selection;Product quality and accuracy
1;1;Competitive prices;Shipping speed and reliability
3;2;Competitive prices;Reducing packaging waste
4;5;Wide product selection;Nil
2;2;Competitive prices;Reducing packaging waste
1;1;Product recommendations;Shipping speed and reliability
5;4;Wide product selection;Shipping speed and reliability
1;2;Product recommendations;Reducing packaging waste
3;4;Product recommendations;Customer service responsiveness
3;2;User-friendly website/app interface;Product quality and accuracy
2;3;Product recommendations;Customer service responsiveness
4;4;Competitive prices;Reducing packaging waste
4;4;Product recommendations;Shipping speed and reliability
2;3;Wide product selection;Product quality and accuracy
3;2;Wide product selection;Customer service responsiveness
2;1;Wide product selection;Product quality and accuracy
2;2;Wide product selection;Customer service responsiveness
3;2;Wide product selection;Shipping speed and reliability
5;2;Wide product selection;Product quality and accuracy
4;2;Product recommendations;Reducing packaging waste
3;1;Product recommendations;Reducing packaging waste
2;2;Competitive prices;Product quality and accuracy
2;2;Wide product selection;Shipping speed and reliability
2;2;Competitive prices;Customer service responsiveness
3;2;Competitive prices;Add more familiar brands to the list
3;2;User-friendly website/app interface;Shipping speed and reliability
1;1;User-friendly website/app interface;Shipping speed and reliability
1;2;Wide product selection;Shipping speed and reliability
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Competitive prices;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
1;1;User-friendly website/app interface;Shipping speed and reliability
2;2;Competitive prices;Shipping speed and reliability
3;3;User-friendly website/app interface;Product quality and accuracy
3;3;Competitive prices;Product quality and accuracy
3;4;User-friendly website/app interface;Product quality and accuracy
3;3;Competitive prices;UI
3;3;Product recommendations;Reducing packaging waste
3;3;User-friendly website/app interface;Customer service responsiveness
3;4;Wide product selection;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
3;3;Competitive prices;Product quality and accuracy
2;3;User-friendly website/app interface;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
2;3;Wide product selection;Product quality and accuracy
3;3;Competitive prices;Shipping speed and reliability
1;1;User-friendly website/app interface;Shipping speed and reliability
4;4;User-friendly website/app interface;Product quality and accuracy
2;2;Wide product selection;Customer service responsiveness
2;3;Wide product selection;Shipping speed and reliability
3;2;Wide product selection;Scrolling option would be much better than going to next page
3;3;User-friendly website/app interface;Product quality and accuracy
3;3;Product recommendations;Product quality and accuracy
1;3;Product recommendations;Reducing packaging waste
2;2;Wide product selection;Product quality and accuracy
3;2;Wide product selection;Product quality and accuracy
2;1;Competitive prices;Reducing packaging waste
3;4;Wide product selection;Customer service responsiveness
2;3;Wide product selection;Customer service responsiveness
2;1;Wide product selection;Customer service responsiveness
3;4;Wide product selection;Customer service responsiveness
3;3;User-friendly website/app interface;Quality of product is very poor according to the big offers
3;3;Competitive prices;Product quality and accuracy
4;3;User-friendly website/app interface;Product quality and accuracy
3;2;Wide product selection;I have no problem with Amazon yet. But others tell me about the refund issues 
4;1;Wide product selection;Product quality and accuracy
3;2;Competitive prices;Customer service responsiveness
2;1;Wide product selection;Shipping speed and reliability
3;4;User-friendly website/app interface;Product quality and accuracy
2;2;Competitive prices;Product quality and accuracy
3;2;User-friendly website/app interface;Product quality and accuracy
2;2;Product recommendations;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
2;3;Competitive prices;Product quality and accuracy
3;4;User-friendly website/app interface;Shipping speed and reliability
2;2;Wide product selection;Customer service responsiveness
1;3;Wide product selection;Product quality and accuracy
3;3;User-friendly website/app interface;Customer service responsiveness
3;1;User-friendly website/app interface;Customer service responsiveness
3;2;Product recommendations;Product quality and accuracy
3;2;Wide product selection;Product quality and accuracy
3;2;Wide product selection;Product quality and accuracy
4;3;User-friendly website/app interface;Reducing packaging waste
3;3;Competitive prices;Shipping speed and reliability
3;2;Wide product selection;Reducing packaging waste
2;2;Product recommendations;Reducing packaging waste
3;3;User-friendly website/app interface;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
3;2;Product recommendations;Customer service responsiveness
2;4;Competitive prices;Customer service responsiveness
2;1;Product recommendations;Customer service responsiveness
3;2;Competitive prices;Customer service responsiveness
3;1;Product recommendations;Customer service responsiveness
3;2;Product recommendations;Reducing packaging waste
3;1;Competitive prices;Customer service responsiveness
2;1;Wide product selection;Customer service responsiveness
3;2;Wide product selection;Product quality and accuracy
3;2;Product recommendations;Product quality and accuracy
3;3;Wide product selection;Product quality and accuracy
3;3;User-friendly website/app interface;Reducing packaging waste
1;3;Competitive prices;Customer service responsiveness
2;2;Product recommendations;Reducing packaging waste
3;2;Product recommendations;Reducing packaging waste
4;3;Competitive prices;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
4;5;Product recommendations;Customer service responsiveness
4;3;Product recommendations;Product quality and accuracy
3;2;Product recommendations;Customer service responsiveness
1;1;Wide product selection;Product quality and accuracy
2;2;User-friendly website/app interface;Customer service responsiveness
4;1;Wide product selection;Shipping speed and reliability
3;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
2;4;Product recommendations;Reducing packaging waste
4;4;Wide product selection;Product quality and accuracy
2;3;Wide product selection;Customer service responsiveness
2;3;Competitive prices;Customer service responsiveness
2;1;Competitive prices;Shipping speed and reliability
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
3;2;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;User-friendly website/app interface;Reducing packaging waste
1;3;Wide product selection;User interface 
2;4;Competitive prices;Customer service responsiveness
3;5;Product recommendations;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;4;Wide product selection;Irrelevant product suggestions
3;3;Competitive prices;Customer service responsiveness
3;3;Competitive prices;Shipping speed and reliability
3;4;Product recommendations;Product quality and accuracy
2;2;Wide product selection;Shipping speed and reliability
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
3;3;Competitive prices;Reducing packaging waste
3;3;User-friendly website/app interface;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
3;4;Product recommendations;Reducing packaging waste
2;3;User-friendly website/app interface;Shipping speed and reliability
3;3;Product recommendations;Reducing packaging waste
2;2;Competitive prices;Product quality and accuracy
2;1;Competitive prices;Customer service responsiveness
5;5;User-friendly website/app interface;Product quality and accuracy
4;4;Wide product selection;Shipping speed and reliability
2;2;Wide product selection;Product quality and accuracy
2;1;Wide product selection;Customer service responsiveness
3;2;Wide product selection;Reducing packaging waste
2;3;Product recommendations;Customer service responsiveness
3;3;Wide product selection;Product quality and accuracy
1;1;Product recommendations;Customer service responsiveness
5;5;User-friendly website/app interface;Shipping speed and reliability
4;4;User-friendly website/app interface;Customer service responsiveness
2;1;Wide product selection;Customer service responsiveness
2;2;Wide product selection;Product quality and accuracy
2;2;Competitive prices;Shipping speed and reliability
4;4;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Product quality and accuracy
3;2;Competitive prices;Shipping speed and reliability
3;3;Wide product selection;Product quality and accuracy
3;2;Competitive prices;User interface of app
3;4;Product recommendations;Product quality and accuracy
1;3;Quick delivery;Reducing packaging waste
3;1;Competitive prices;Product quality and accuracy
5;3;User-friendly website/app interface;Shipping speed and reliability
1;1;Wide product selection;Product quality and accuracy
3;3;Wide product selection;Product quality and accuracy
3;2;Competitive prices;Reducing packaging waste
2;2;Competitive prices;Product quality and accuracy
1;1;Wide product selection;Customer service responsiveness
1;1;User-friendly website/app interface;Shipping speed and reliability
3;2;Wide product selection;Customer service responsiveness
2;3;Competitive prices;Reducing packaging waste
2;1;Competitive prices;Product quality and accuracy
4;4;Wide product selection;Customer service responsiveness
1;1;Competitive prices;Customer service responsiveness
4;3;User-friendly website/app interface;Reducing packaging waste
2;2;Wide product selection;Reducing packaging waste
2;2;Competitive prices;Shipping speed and reliability
5;5;Wide product selection;Product quality and accuracy
1;3;User-friendly website/app interface;Product quality and accuracy
1;1;Product recommendations;Customer service responsiveness
4;4;Product recommendations;Customer service responsiveness
4;3;Competitive prices;Customer service responsiveness
2;1;Product recommendations;Reducing packaging waste
3;2;User-friendly website/app interface;Product quality and accuracy
3;3;User-friendly website/app interface;Customer service responsiveness
3;1;Competitive prices;Customer service responsiveness
2;2;Product recommendations;Customer service responsiveness
1;2;Wide product selection;Product quality and accuracy
2;2;Wide product selection;Customer service responsiveness
2;1;Wide product selection;Customer service responsiveness
2;2;Competitive prices;Shipping speed and reliability
2;2;Competitive prices;Customer service responsiveness
3;2;Competitive prices;Customer service responsiveness
2;2;Competitive prices;Product quality and accuracy
1;1;Product recommendations;Shipping speed and reliability
3;2;Competitive prices;Shipping speed and reliability
2;3;Wide product selection;Customer service responsiveness
2;1;User-friendly website/app interface;Shipping speed and reliability
2;2;Product recommendations;Product quality and accuracy
4;1;Competitive prices;Customer service responsiveness
2;2;Competitive prices;Shipping speed and reliability
2;3;Product recommendations;Customer service responsiveness
2;2;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;1;Wide product selection;Customer service responsiveness
2;2;Product recommendations;Customer service responsiveness
4;2;Product recommendations;Customer service responsiveness
2;1;Competitive prices;Customer service responsiveness
2;2;Wide product selection;Customer service responsiveness
4;4;Product recommendations;Product quality and accuracy
4;2;Competitive prices;I don't have any problem with Amazon
3;2;Competitive prices;Product quality and accuracy
2;2;Competitive prices;Shipping speed and reliability
2;1;Product recommendations;Customer service responsiveness
2;2;Product recommendations;Customer service responsiveness
2;1;Wide product selection;Reducing packaging waste
2;2;Wide product selection;Product quality and accuracy
3;1;Competitive prices;No problems with Amazon
2;2;Product recommendations;Product quality and accuracy
1;1;User-friendly website/app interface;Product quality and accuracy
3;1;Competitive prices;Customer service responsiveness
3;2;Wide product selection;Shipping speed and reliability
4;3;Product recommendations;Shipping speed and reliability
1;1;Competitive prices;Customer service responsiveness
1;1;Competitive prices;Customer service responsiveness
2;1;Product recommendations;Customer service responsiveness
3;2;Product recommendations;Reducing packaging waste
5;1;Competitive prices;Customer service responsiveness
3;1;Wide product selection;Product quality and accuracy
5;2;Wide product selection;Customer service responsiveness
2;1;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
2;3;Product recommendations;Reducing packaging waste
2;1;Product recommendations;Reducing packaging waste
2;3;Product recommendations;Customer service responsiveness
3;2;Product recommendations;Customer service responsiveness
2;2;Wide product selection;Customer service responsiveness
3;4;Product recommendations;Customer service responsiveness
4;3;Competitive prices;Customer service responsiveness
1;1;User-friendly website/app interface;Shipping speed and reliability
1;3;Competitive prices;Product quality and accuracy
3;2;Wide product selection;Product quality and accuracy
2;2;User-friendly website/app interface;Product quality and accuracy
5;5;Wide product selection;Product quality and accuracy
2;2;User-friendly website/app interface;Product quality and accuracy
3;3;Product recommendations;Reducing packaging waste
2;2;Competitive prices;Customer service responsiveness
2;5;User-friendly website/app interface;Shipping speed and reliability
2;2;Competitive prices;Reducing packaging waste
3;3;Product recommendations;Shipping speed and reliability
2;2;Wide product selection;Customer service responsiveness
2;2;Wide product selection;Product quality and accuracy
1;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
2;1;Wide product selection;Customer service responsiveness
4;2;Product recommendations;Customer service responsiveness
2;2;Product recommendations;Reducing packaging waste
1;4;Competitive prices;Reducing packaging waste
3;2;User-friendly website/app interface;Product quality and accuracy
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
2;2;Competitive prices;Customer service responsiveness
3;2;Competitive prices;Product quality and accuracy
2;2;Competitive prices;Customer service responsiveness
2;2;Product recommendations;Reducing packaging waste
1;1;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
4;3;Product recommendations;Customer service responsiveness
3;4;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
3;2;Competitive prices;Customer service responsiveness
2;1;Product recommendations;Reducing packaging waste
4;2;Product recommendations;Reducing packaging waste
3;2;Competitive prices;Customer service responsiveness
3;2;Product recommendations;Reducing packaging waste
4;4;Product recommendations;Reducing packaging waste
3;2;Competitive prices;Reducing packaging waste
3;3;Competitive prices;Customer service responsiveness
3;1;Competitive prices;Customer service responsiveness
2;1;Competitive prices;Reducing packaging waste
3;2;Competitive prices;Customer service responsiveness
3;2;Competitive prices;Product quality and accuracy
3;1;Wide product selection;Customer service responsiveness
3;3;Competitive prices;Reducing packaging waste
3;2;Competitive prices;Reducing packaging waste
3;4;Product recommendations;Reducing packaging waste
2;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
4;3;Product recommendations;Reducing packaging waste
4;1;Product recommendations;Reducing packaging waste
2;2;Product recommendations;Reducing packaging waste
2;3;Product recommendations;Customer service responsiveness
2;1;Competitive prices;Reducing packaging waste
2;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;2;Product recommendations;Customer service responsiveness
2;1;Competitive prices;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
3;2;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;2;Competitive prices;Customer service responsiveness
3;3;Competitive prices;Product quality and accuracy
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;4;Product recommendations;Shipping speed and reliability
3;3;Product recommendations;Reducing packaging waste
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
4;3;Wide product selection;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
1;3;Product recommendations;Customer service responsiveness
2;2;Product recommendations;Reducing packaging waste
3;2;Competitive prices;Product quality and accuracy
2;2;Competitive prices;Product quality and accuracy
2;1;Competitive prices;Reducing packaging waste
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Product quality and accuracy
2;3;Competitive prices;Customer service responsiveness
4;2;Product recommendations;Reducing packaging waste
3;4;Product recommendations;Reducing packaging waste
2;2;Product recommendations;Customer service responsiveness
3;3;Competitive prices;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
4;4;User-friendly website/app interface;Customer service responsiveness
3;3;Competitive prices;Reducing packaging waste
3;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Shipping speed and reliability
3;3;Wide product selection;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
2;1;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
2;2;Wide product selection;Product quality and accuracy
2;1;All the above;Reducing packaging waste
1;2;Competitive prices;Shipping speed and reliability
1;2;Wide product selection;Product quality and accuracy
5;4;Product recommendations;Customer service responsiveness
3;1;Product recommendations;Customer service responsiveness
1;1;Competitive prices;Reducing packaging waste
1;1;Wide product selection;Product quality and accuracy
2;1;Wide product selection;Product quality and accuracy
3;1;Product recommendations;Reducing packaging waste
4;4;User-friendly website/app interface;Shipping speed and reliability
3;5;Competitive prices;Customer service responsiveness
3;2;Competitive prices;Reducing packaging waste
2;3;Competitive prices;Reducing packaging waste
2;2;Product recommendations;Customer service responsiveness
2;2;Product recommendations;Product quality and accuracy
2;2;Competitive prices;Reducing packaging waste
2;2;Competitive prices;Customer service responsiveness
2;2;Competitive prices;Product quality and accuracy
2;3;Wide product selection;Customer service responsiveness
5;4;Competitive prices;Reducing packaging waste
5;4;Product recommendations;Product quality and accuracy
5;5;User-friendly website/app interface;Reducing packaging waste
5;5;User-friendly website/app interface;Product quality and accuracy
5;4;Wide product selection;Customer service responsiveness
3;3;Competitive prices;Reducing packaging waste
3;4;Product recommendations;Reducing packaging waste
2;3;Wide product selection;Shipping speed and reliability
4;3;Product recommendations;Reducing packaging waste
2;3;Wide product selection;Product quality and accuracy
3;4;Wide product selection;Shipping speed and reliability
2;3;Product recommendations;Product quality and accuracy
2;3;Competitive prices;Reducing packaging waste
3;4;Product recommendations;Customer service responsiveness
2;4;Wide product selection;Reducing packaging waste
2;2;Competitive prices;Customer service responsiveness
2;2;Product recommendations;Customer service responsiveness
2;3;Product recommendations;Shipping speed and reliability
2;3;Product recommendations;Customer service responsiveness
2;3;Product recommendations;Customer service responsiveness
2;2;Product recommendations;Reducing packaging waste
3;2;Product recommendations;Customer service responsiveness
1;1;Wide product selection;Product quality and accuracy
2;2;Competitive prices;Product quality and accuracy
2;1;Competitive prices;Reducing packaging waste
3;2;Competitive prices;Customer service responsiveness
2;2;User-friendly website/app interface;Customer service responsiveness
2;1;Product recommendations;Product quality and accuracy
4;3;Product recommendations;Customer service responsiveness
2;1;User-friendly website/app interface;Customer service responsiveness
2;1;Competitive prices;Reducing packaging waste
1;2;Wide product selection;Product quality and accuracy
2;1;Competitive prices;Product quality and accuracy
1;1;Competitive prices;Customer service responsiveness
2;2;Competitive prices;Reducing packaging waste
2;2;Product recommendations;Customer service responsiveness
2;2;Competitive prices;Customer service responsiveness
3;2;Product recommendations;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;2;Competitive prices;Customer service responsiveness
3;3;User-friendly website/app interface;Customer service responsiveness
3;2;User-friendly website/app interface;Product quality and accuracy
4;4;User-friendly website/app interface;Shipping speed and reliability
3;3;Product recommendations;Reducing packaging waste
2;4;Product recommendations;Product quality and accuracy
4;4;Competitive prices;Shipping speed and reliability
3;3;Product recommendations;Product quality and accuracy
3;3;Product recommendations;Reducing packaging waste
3;4;Product recommendations;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;3;User-friendly website/app interface;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;3;Wide product selection;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
3;4;Competitive prices;Customer service responsiveness
4;4;Wide product selection;Customer service responsiveness
3;4;Product recommendations;Customer service responsiveness
3;2;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Product quality and accuracy
3;3;Competitive prices;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
4;4;Product recommendations;Reducing packaging waste
3;2;Product recommendations;Product quality and accuracy
3;3;Product recommendations;Customer service responsiveness
3;3;User-friendly website/app interface;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;3;Competitive prices;Customer service responsiveness
3;5;Competitive prices;Customer service responsiveness
3;4;Product recommendations;Customer service responsiveness
3;4;Product recommendations;Product quality and accuracy
3;4;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Customer service responsiveness
3;4;Competitive prices;Customer service responsiveness
3;3;Product recommendations;Reducing packaging waste
2;3;Wide product selection;Product quality and accuracy
2;2;Wide product selection;Product quality and accuracy
3;3;Product recommendations;Product quality and accuracy
